session_id,avg_action_intensity,std_action_intensity,avg_upgrade_ratio,avg_demolish_ratio,avg_build_ratio,avg_build_house_ratio,avg_build_factory_ratio,avg_build_service_ratio,avg_build_supply_ratio,avg_build_road_ratio,avg_house_per_turn,avg_factory_per_turn,avg_service_per_turn,avg_supply_per_turn,avg_road_per_turn,avg_gold_per_population,avg_tax_per_population,avg_population_per_ap,avg_house_per_road,avg_bad_placement,avg_no_service,avg_low_satisfaction,avg_population_growth,avg_gold_growth,avg_supply_growth,avg_ap_growth,avg_satisfaction_growth,avg_service_growth,avg_pollution_growth,avg_tax_income_growth,std_population_growth,std_gold_growth,std_supply_growth,std_satisfaction_growth,std_service_growth,std_pollution_growth,avg_satisfaction_index,avg_service_index,avg_pollution_index,total_population_growth,total_gold_growth,total_supply_growth,total_ap_growth,total_tax_income_growth,supply_efficiency,avg_supply_ratio,min_supply_ratio,service_to_house,factory_to_house,used_service_early,used_factory_early,early_service_ratio,early_factory_ratio,early_service_to_house,early_factory_to_house,final_turn,final_gold,final_population,final_supply,final_ap,final_satisfaction,final_service,final_pollution,final_tax_income
20260406_204247,0.5208333333333334,0.37453675090407057,0.15411931818181818,0.0,0.7833806818181819,0.21556883169934643,0.0625,0.01640625,0.16707516339869283,0.4134497549019608,0.8125,0.0625,0.1875,0.4375,4.5625,3.6090499292796534,2.02590835684433,408.0520833333333,0.06274801587301587,0.0,0.11458333333333333,0.0,106.75,24.6875,127.5,0.0625,0.05817306875,0.04086538125,0.0,162.25,91.76528028980606,727.7506641471834,183.13929125122223,0.2001899526137704,0.1155938606888458,0.0,0.85637745625,0.55063720625,0.0,1708,395,2040,1,2596,1.1943793911007026,1.110737478629318,0.5587892898719441,0.2307689467459117,0.07692298224863724,1,0,0.04761904535147403,0.0,0.24999993750001562,0.0,16,3645,3371.0,2520.0,3371.0,0.9549999,0.825,0.0,3957.0
20260407_031835,0.6979166666666666,0.31012990109880656,0.11736111111111111,0.035416666666666666,0.7847222222222223,0.26961805555555557,0.010416666666666666,0.10520833333333333,0.15637400793650794,0.3958829365079365,0.8125,0.0625,0.25,0.5625,4.375,3.5478863488852332,2.1469324921414774,484.16666666666663,0.05373263888888889,0.0,0.3036848568098568,0.0,167.125,57.4375,135.0,0.0625,0.058173075,0.045673075,0.0,206.125,163.98409475718472,660.8508625249724,150.99668870541498,0.204220701559868,0.10753415071079823,0.0,0.799731075,0.39011076875,0.0,2674,919,2160,1,3298,0.8077786088257293,0.9294549239285913,0.4247787610619469,0.30769192899454895,0.07692298224863724,1,0,0.041666664930555625,0.0,0.16666663888889352,0.0,16,4169,4849.0,3840.0,4849.0,0.9444444,0.8333333,0.0,4679.0
20260407_053706,0.6666666666666666,0.3651483716701107,0.12686011904761904,0.020833333333333332,0.7898065476190476,0.44953353937728935,0.0,0.050105042016806725,0.0811404128959276,0.35672100570997634,0.9375,0.0,0.25,0.4375,4.5,3.7548808268879523,2.0850395539554447,503.89583333333337,0.045089285714285714,0.0,0.08752705627705627,0.0,190.375,116.1875,142.5,0.0,0.05833333125,0.04583333125,0.0,229.5625,169.7346458446242,699.3334177391115,176.4652940382329,0.19985486665870217,0.14694128092639688,0.0,0.84838880625,0.50378788125,0.0,3046,1859,2280,0,3673,0.7485226526592252,1.1255582991119815,0.6282722513089005,0.26666638222252564,0.0,1,0,0.033333332222222255,0.0,0.33333322222225925,0.0,16,5109,5151.0,4440.0,5151.0,0.9428571,0.7857143,0.0,5677.0
20260407_060112,0.7604166666666666,0.28361913689808527,0.04126984126984126,0.0,0.8962301587301588,0.2533547437040084,0.03125,0.05315563725490196,0.10010348107774578,0.49963613796334383,1.3125,0.0625,0.25,0.5625,4.6875,4.192192331543703,2.349542401856725,338.421875,0.1771103896103896,0.027888655462184872,0.2902720951434187,0.0,140.25,63.4375,135.0,0.0625,0.0554166625,0.03125,0.001785714375,206.9375,99.92630617943739,695.4899442119922,150.99668870541498,0.2007840539443837,0.1465319467552429,0.010331806593003291,0.8210182375,0.37461321875,0.008366596875,2244,1015,2160,1,3311,0.9625668449197861,1.3319215715454098,0.8703535811423391,0.1904760453515845,0.047619011337896124,1,0,0.045454543388429844,0.0,0.16666663888889352,0.0,16,4265,3580.0,3360.0,3580.0,0.900645,0.5483871,0.01935484,5044.0
20260407_061019,0.5416666666666666,0.38248698840130013,0.3430741133866134,0.0,0.5944258866133866,0.26262626262626265,0.0,0.023042929292929292,0.14583333333333334,0.38099747474747475,1.0625,0.0,0.1875,0.1875,3.4375,4.469188112668817,2.5305376890070646,329.5208333333333,0.13216765873015873,0.0,0.19664449112978527,0.0,90.5625,20.0,67.5,0.0,0.05588235,0.0294117625,0.0,157.625,72.29750456735465,657.6389080136099,115.67194992737004,0.2001010264409889,0.1292160402961019,0.0,0.8294240125,0.39712009375,0.0,1449,320,1080,0,2522,0.7453416149068323,1.2622346742414123,0.7135777998017839,0.17647042214548506,0.0,1,0,0.07142856632653098,0.0,0.24999993750001562,0.0,16,3570,2342.0,2160.0,2342.0,0.8833331,0.4166667,0.0,3578.0
20260407_152925,0.625,0.3191423692521127,0.0,0.0,0.9375,0.20880074786324784,0.0,0.04134424603174603,0.12345848595848596,0.5638965201465201,0.6875,0.0,0.375,0.4375,5.1875,3.5894296187791257,1.9134221825819813,487.6666666666667,0.05181277056277056,0.04030483405483405,0.07291666666666667,0.0,111.5625,-32.4375,105.0,0.0,0.05829545625,0.05681818125,0.0005681818125,111.25,96.99069972597029,608.9593274595603,122.96340919151518,0.1994313121570598,0.12979192758452132,0.0037510471257111524,0.85570520625,0.61443226875,0.0040304830625,1785,-519,1680,0,1780,0.9411764705882353,1.2135963643201537,0.6282722513089005,0.5454537520672696,0.0,1,0,0.035714284438775556,0.0,0.24999993750001562,0.0,16,2731,2738.0,2400.0,2738.0,0.944,1.0,0.006666667,2621.0
20260407_161102,0.5625,0.33815950652296,0.1505952380952381,0.0,0.7869047619047619,0.17430555555555555,0.0,0.1597222222222222,0.16145833333333334,0.37951388888888893,0.6875,0.0,0.375,0.25,2.75,3.3034311188230063,1.962192176295383,374.01041666666663,0.10987103174603174,0.0,0.10205853174603174,0.0,70.9375,-130.8125,67.5,0.0,0.0596590875,0.04829545625,0.0,70.0625,52.205323802590605,670.7449807241696,107.05138952858108,0.1991531537700332,0.13155619423972895,0.0,0.85665563125,0.5332781,0.0,1135,-2093,1080,0,1121,0.9515418502202643,1.1576337452171273,0.8205128205128205,0.5454537520672696,0.0,1,0,0.08333332986111125,0.0,0.49999987500003124,0.0,16,1157,1626.0,1560.0,1626.0,0.9714286,0.9642857,0.0,1428.0
20260407_164234,0.7708333333333333,0.29107081994288303,0.06865530303030302,0.003472222222222222,0.8653724747474747,0.34124543756896697,0.0,0.0078125,0.03770424836601308,0.5507378140650199,1.75,0.0,0.0625,0.375,5.375,5.213071377586505,3.363235300807731,388.2916666666667,0.21845238095238095,0.0,0.9227430555555556,0.0,145.75,130.0,120.0,0.0,0.0469444375,0.0034722225,0.0,273.125,86.30681703473178,797.6582392645779,195.95917942265424,0.201429697281511,0.015835769598141838,0.0,0.7414757375000001,0.0073784725,0.0,2332,2080,1920,0,4370,0.823327615780446,1.8371150723170548,0.823327615780446,0.03571426530613411,0.0,0,0,0.0,0.0,0.0,0.0,16,5330,3949.0,3960.0,3949.0,0.8162159,0.08108108,0.0,6471.0
20260408_044845,0.7552083333333333,0.28458668860881975,0.06840277777777778,0.0,0.8690972222222222,0.35796568627450975,0.003676470588235294,0.03125,0.06535443722943723,0.4792534059078177,1.9375,0.0625,0.0625,0.3125,6.125,4.600255979740271,2.8359914289671764,323.21875,0.17866704374057313,0.12204887077685252,0.9108008316040999,0.0,119.75,100.625,90.0,0.0625,0.03754033125,0.00201612875,0.0008064518749999999,250.8125,89.1840792966996,990.9022067456169,111.71392035015153,0.22782463413140297,0.013725131540532436,0.015163519559173822,0.6380319437499999,0.013349584375000001,0.0142169104375,1916,1610,1440,1,4013,0.7515657620041754,0.9625205349454544,0.6818181818181818,0.03225804786681401,0.03225804786681401,0,0,0.0,0.0,0.0,0.0,16,4860,3674.0,2280.0,3674.0,0.6160003,0.1,0.008888889,6166.0
20260408_050907,0.5208333333333333,0.3645138822738722,0.1467013888888889,0.03125,0.7595486111111112,0.2854910714285714,0.0,0.15476190476190477,0.09226190476190477,0.342485119047619,0.6875,0.0,0.25,0.25,2.1875,4.591313580831056,2.424199979420499,295.20833333333337,0.1880952380952381,0.0,0.0625,0.0,69.75,-34.375,60.0,0.0,0.05909090625,0.04545454375,0.0,98.125,58.612285401611835,613.8563214086284,138.5640646055102,0.1994256588559639,0.13604132685389375,0.0,0.86768085,0.5884041250000001,0.0,1116,-550,960,0,1570,0.8602150537634409,2.0107148971325084,0.8602150537634409,0.3636358347115131,0.0,1,0,0.04761904535147403,0.0,0.33333322222225925,0.0,16,2700,1731.0,1560.0,1731.0,0.9599999,0.9333333,0.0,1828.0
20260408_060458,0.46845238095238095,0.212558293102721,0.03125,0.0,0.90625,0.28296454451345754,0.10863095238095237,0.0,0.02355072463768116,0.5223537784679089,1.9375,0.25,0.0,0.125,6.0625,8.570850647116721,4.401271728444506,170.703125,0.20483630952380955,0.224444089639967,0.9375,0.0,64.6875,34.375,30.0,0.25,0.029153224999999994,0.0,0.004637096250000002,186.125,43.32161700583209,619.5309919608542,81.97560612767678,0.15119688647070526,0.0,0.032523892147217126,0.50840235625,0.0,0.063988715,1035,550,480,4,2978,0.463768115942029,0.6664178610209955,0.0,0.0,0.12903219146725603,0,1,0.0,0.13333332444444504,0.0,0.49999987500003124,16,3800,1762.0,720.0,1762.0,0.4641509,0.0,0.07924527,4721.0
20260408_063605,0.6875,0.2958039891549808,0.05238095238095238,0.0,0.8851190476190476,0.2458557067932068,0.03125,0.022989510489510492,0.12311733405483405,0.5142874486624487,1.5625,0.0625,0.25,0.5,5.0625,4.571689394195716,3.0712339414603025,328.7395833333333,0.2545454545454545,0.05587341375944317,0.7751728418640184,0.0,153.0625,94.5625,157.5,0.0625,0.0538999875,0.02,0.00025,239.0,105.90024787506401,741.0530317280494,208.85401600160816,0.2121691110294612,0.041487084822194965,0.003872424608718367,0.7485241499999999,0.09754547499999999,0.005587340812499999,2449,1513,2520,1,3824,1.0289914250714578,1.0818575054316748,0.7104413347685683,0.15999989760006555,0.03999997440001639,0,1,0.0,0.030303029384756687,0.0,0.1428571224489825,16,4763,3926.0,4200.0,3926.0,0.8594283,0.3142857,0.008571429,5889.0
